                                    name ROOTtype arraytype isarray        countname countROOTtype countarraytype
                                     run    Int_t         i      no             None          None           None
                                    lumi    Int_t         i      no             None          None           None
                                     evt    Int_t         i      no             None          None           None
                                  isData    Int_t         i      no             None          None           None
                                    xsec Double_t         d      no             None          None           None
                                puWeight Double_t         d      no             None          None           None
                                nTrueInt    Int_t         i      no             None          None           None
                               genWeight Double_t         d      no             None          None           None
                                     rho Double_t         d      no             None          None           None
                                   nVert    Int_t         i      no             None          None           None
                                  nJet25    Int_t         i      no             None          None           None
                            nBJetLoose25    Int_t         i      no             None          None           None
                           nBJetMedium25    Int_t         i      no             None          None           None
                            nBJetTight25    Int_t         i      no             None          None           None
                                  nJet30    Int_t         i      no             None          None           None
                                 nJet30a    Int_t         i      no             None          None           None
                            nBJetLoose30    Int_t         i      no             None          None           None
                           nBJetMedium30    Int_t         i      no             None          None           None
                            nBJetTight30    Int_t         i      no             None          None           None
                                  nJet40    Int_t         i      no             None          None           None
                                 nJet40a    Int_t         i      no             None          None           None
                             nJet40NoTau    Int_t         i      no             None          None           None
                            nBJetLoose40    Int_t         i      no             None          None           None
                           nBJetMedium40    Int_t         i      no             None          None           None
                            nBJetTight40    Int_t         i      no             None          None           None
                              nLepGood20    Int_t         i      no             None          None           None
                              nLepGood15    Int_t         i      no             None          None           None
                              nLepGood10    Int_t         i      no             None          None           None
                           GenSusyMScan1    Int_t         i      no             None          None           None
                           GenSusyMScan2    Int_t         i      no             None          None           None
                           GenSusyMScan3    Int_t         i      no             None          None           None
                           GenSusyMScan4    Int_t         i      no             None          None           None
                          GenSusyMGluino    Int_t         i      no             None          None           None
                       GenSusyMGravitino    Int_t         i      no             None          None           None
                            GenSusyMStop    Int_t         i      no             None          None           None
                         GenSusyMSbottom    Int_t         i      no             None          None           None
                           GenSusyMStop2    Int_t         i      no             None          None           None
                        GenSusyMSbottom2    Int_t         i      no             None          None           None
                          GenSusyMSquark    Int_t         i      no             None          None           None
                      GenSusyMNeutralino    Int_t         i      no             None          None           None
                     GenSusyMNeutralino2    Int_t         i      no             None          None           None
                     GenSusyMNeutralino3    Int_t         i      no             None          None           None
                     GenSusyMNeutralino4    Int_t         i      no             None          None           None
                        GenSusyMChargino    Int_t         i      no             None          None           None
                       GenSusyMChargino2    Int_t         i      no             None          None           None
                                  genBin Double_t         d      no             None          None           None
                               genQScale Double_t         d      no             None          None           None
                                    ht40 Double_t         d      no             None          None           None
                                    ht50 Double_t         d      no             None          None           None
                             deltaPhiMin Double_t         d      no             None          None           None
                                mht40_pt Double_t         d      no             None          None           None
                               mht40_phi Double_t         d      no             None          None           None
                                mht50_pt Double_t         d      no             None          None           None
                               mht50_phi Double_t         d      no             None          None           None
                                 genHt40 Double_t         d      no             None          None           None
                                 genHt50 Double_t         d      no             None          None           None
                             genMht40_pt Double_t         d      no             None          None           None
                            genMht40_phi Double_t         d      no             None          None           None
                             genMht50_pt Double_t         d      no             None          None           None
                            genMht50_phi Double_t         d      no             None          None           None
                              biasedDPhi Double_t         d      no             None          None           None
                            nJet40Eta2p4    Int_t         i      no             None          None           None
                                 nJet100    Int_t         i      no             None          None           None
                           nJet100Eta2p4    Int_t         i      no             None          None           None
                                nJet100a    Int_t         i      no             None          None           None
                                nMuons10    Int_t         i      no             None          None           None
                            nElectrons10    Int_t         i      no             None          None           None
                                 nTaus20    Int_t         i      no             None          None           None
                               nGammas25    Int_t         i      no             None          None           None
                                 nBJet40    Int_t         i      no             None          None           None
                                 nBJet50    Int_t         i      no             None          None           None
                           nBJet40Eta2p4    Int_t         i      no             None          None           None
                           nBJet50Eta2p4    Int_t         i      no             None          None           None
                                  alphaT Double_t         d      no             None          None           None
                               genAlphaT Double_t         d      no             None          None           None
                                 mt2_had Double_t         d      no             None          None           None
                            mt2ViaKt_had Double_t         d      no             None          None           None
                                  mt2_bb Double_t         d      no             None          None           None
                                 mt2_gen Double_t         d      no             None          None           None
                                     mt2 Double_t         d      no             None          None           None
                               gamma_mt2 Double_t         d      no             None          None           None
                                 zll_mt2 Double_t         d      no             None          None           None
                                     mtw Double_t         d      no             None          None           None
                                  mtwTau Double_t         d      no             None          None           None
                             mtwIsoTrack Double_t         d      no             None          None           None
                                     mll Double_t         d      no             None          None           None
                                HLT_Muon Double_t         d      no             None          None           None
                              HLT_Prompt Double_t         d      no             None          None           None
                              HLT_Photon Double_t         d      no             None          None           None
                            HLT_SingleMu Double_t         d      no             None          None           None
                                HLT_Bulk Double_t         d      no             None          None           None
                              HLT_Parked Double_t         d      no             None          None           None
 Flag_EcalDeadCellTriggerPrimitiveFilter Double_t         d      no             None          None           None
            Flag_trkPOG_manystripclus53X Double_t         d      no             None          None           None
                Flag_ecalLaserCorrFilter Double_t         d      no             None          None           None
         Flag_trkPOG_toomanystripclus53X Double_t         d      no             None          None           None
               Flag_hcalLaserEventFilter Double_t         d      no             None          None           None
     Flag_trkPOG_logErrorTooManyClusters Double_t         d      no             None          None           None
                      Flag_trkPOGFilters Double_t         d      no             None          None           None
              Flag_trackingFailureFilter Double_t         d      no             None          None           None
                 Flag_CSCTightHaloFilter Double_t         d      no             None          None           None
                    Flag_HBHENoiseFilter Double_t         d      no             None          None           None
                       Flag_goodVertices Double_t         d      no             None          None           None
                         Flag_METFilters Double_t         d      no             None          None           None
                      Flag_eeBadScFilter Double_t         d      no             None          None           None
                                  met_pt Double_t         d      no             None          None           None
                                 met_eta Double_t         d      no             None          None           None
                                 met_phi Double_t         d      no             None          None           None
                                met_mass Double_t         d      no             None          None           None
                               met_sumEt Double_t         d      no             None          None           None
                               met_genPt Double_t         d      no             None          None           None
                              met_genPhi Double_t         d      no             None          None           None
                              met_genEta Double_t         d      no             None          None           None
                              metNoMu_pt Double_t         d      no             None          None           None
                             metNoMu_eta Double_t         d      no             None          None           None
                             metNoMu_phi Double_t         d      no             None          None           None
                            metNoMu_mass Double_t         d      no             None          None           None
                        biasedDPhiJet_pt Double_t         d      no             None          None           None
                       biasedDPhiJet_eta Double_t         d      no             None          None           None
                       biasedDPhiJet_phi Double_t         d      no             None          None           None
                      biasedDPhiJet_mass Double_t         d      no             None          None           None
                          metNoPhoton_pt Double_t         d      no             None          None           None
                         metNoPhoton_eta Double_t         d      no             None          None           None
                         metNoPhoton_phi Double_t         d      no             None          None           None
                        metNoPhoton_mass Double_t         d      no             None          None           None
                             metNoEle_pt Double_t         d      no             None          None           None
                            metNoEle_eta Double_t         d      no             None          None           None
                            metNoEle_phi Double_t         d      no             None          None           None
                           metNoEle_mass Double_t         d      no             None          None           None
                               nisoTrack    Int_t         i      no             None          None           None
                          isoTrack_pdgId    Int_t         i    yes         nisoTrack         Int_t              i
                             isoTrack_pt Double_t         d    yes         nisoTrack         Int_t              i
                            isoTrack_eta Double_t         d    yes         nisoTrack         Int_t              i
                            isoTrack_phi Double_t         d    yes         nisoTrack         Int_t              i
