             component          met      n   nvar
  QCD_HT_250To500_ext1    31.622777      2      2
  QCD_HT_250To500_ext1    39.810717      0      0
  QCD_HT_250To500_ext1    79.432823      1      1
  QCD_HT_250To500_ext1   100.000000      0      0
      QCD_HT_500To1000    25.118864      1      1
      QCD_HT_500To1000    31.622777      0      0
 QCD_HT_500To1000_ext1    15.848932      3      3
 QCD_HT_500To1000_ext1    19.952623      6      6
 QCD_HT_500To1000_ext1    25.118864      3      3
 QCD_HT_500To1000_ext1    31.622777      2      2
 QCD_HT_500To1000_ext1    39.810717      3      3
 QCD_HT_500To1000_ext1    50.118723      3      3
 QCD_HT_500To1000_ext1    63.095734      2      2
 QCD_HT_500To1000_ext1    79.432823      0      0
      QCD_HT_1000ToInf    31.622777      3      3
      QCD_HT_1000ToInf    39.810717      0      0
      QCD_HT_1000ToInf    50.118723      3      3
      QCD_HT_1000ToInf    63.095734      2      2
      QCD_HT_1000ToInf    79.432823      1      1
      QCD_HT_1000ToInf   100.000000      1      1
      QCD_HT_1000ToInf   125.892541      0      0
 QCD_HT_1000ToInf_ext1   100.000000      1      1
 QCD_HT_1000ToInf_ext1   125.892541      0      0
                T_tWch     1.584893      1      1
                T_tWch     1.995262      1      1
                T_tWch     2.511886      8      8
                T_tWch     3.162278      8      8
                T_tWch     3.981072     13     13
                T_tWch     5.011872     19     19
                T_tWch     6.309573     41     41
                T_tWch     7.943282     88     88
                T_tWch    10.000000    126    126
                T_tWch    12.589254    203    203
                T_tWch    15.848932    319    319
                T_tWch    19.952623    504    504
                T_tWch    25.118864    684    684
                T_tWch    31.622777    865    865
                T_tWch    39.810717   1024   1024
                T_tWch    50.118723    963    963
                T_tWch    63.095734    842    842
                T_tWch    79.432823    589    589
                T_tWch   100.000000    334    334
                T_tWch   125.892541    191    191
                T_tWch   158.489319    120    120
                T_tWch   199.526231     63     63
                T_tWch   251.188643     33     33
                T_tWch   316.227766     18     18
                T_tWch   398.107171     10     10
                T_tWch   501.187234      0      0
                T_tWch   630.957344      2      2
                T_tWch   794.328235      0      0
                T_tWch  1258.925412      1      1
                T_tWch  1584.893192      0      0
             TBar_tWch     1.584893      1      1
             TBar_tWch     1.995262      2      2
