                             component              met       n    nvar
          QCD_HT1000to1500_madgraphMLM  0.0125892541179       1       1
          QCD_HT1000to1500_madgraphMLM  0.0158489319246       0       0
          QCD_HT1000to1500_madgraphMLM  0.0251188643151       1       1
          QCD_HT1000to1500_madgraphMLM  0.0316227766017       0       0
          QCD_HT1000to1500_madgraphMLM  0.0398107170553       2       2
          QCD_HT1000to1500_madgraphMLM  0.0501187233627       4       4
          QCD_HT1000to1500_madgraphMLM   0.063095734448       6       6
          QCD_HT1000to1500_madgraphMLM  0.0794328234724       8       8
          QCD_HT1000to1500_madgraphMLM              0.1      24      24
          QCD_HT1000to1500_madgraphMLM   0.125892541179      16      16
          QCD_HT1000to1500_madgraphMLM   0.158489319246      36      36
          QCD_HT1000to1500_madgraphMLM   0.199526231497      55      55
          QCD_HT1000to1500_madgraphMLM   0.251188643151      91      91
          QCD_HT1000to1500_madgraphMLM   0.316227766017     105     105
          QCD_HT1000to1500_madgraphMLM   0.398107170553     184     184
          QCD_HT1000to1500_madgraphMLM   0.501187233627     318     318
          QCD_HT1000to1500_madgraphMLM    0.63095734448     473     473
          QCD_HT1000to1500_madgraphMLM   0.794328234724     820     820
          QCD_HT1000to1500_madgraphMLM              1.0    1254    1254
          QCD_HT1000to1500_madgraphMLM    1.25892541179    1866    1866
          QCD_HT1000to1500_madgraphMLM    1.58489319246    3006    3006
          QCD_HT1000to1500_madgraphMLM    1.99526231497    4831    4831
          QCD_HT1000to1500_madgraphMLM    2.51188643151    7679    7679
          QCD_HT1000to1500_madgraphMLM    3.16227766017   12118   12118
          QCD_HT1000to1500_madgraphMLM    3.98107170553   19185   19185
          QCD_HT1000to1500_madgraphMLM    5.01187233627   29904   29904
          QCD_HT1000to1500_madgraphMLM     6.3095734448   46958   46958
          QCD_HT1000to1500_madgraphMLM    7.94328234724   71999   71999
          QCD_HT1000to1500_madgraphMLM               10  110582  110582
          QCD_HT1000to1500_madgraphMLM    12.5892541179  166685  166685
          QCD_HT1000to1500_madgraphMLM    15.8489319246  243054  243054
          QCD_HT1000to1500_madgraphMLM    19.9526231497  341188  341188
          QCD_HT1000to1500_madgraphMLM    25.1188643151  449198  449198
          QCD_HT1000to1500_madgraphMLM    31.6227766017  545364  545364
          QCD_HT1000to1500_madgraphMLM    39.8107170553  596575  596575
          QCD_HT1000to1500_madgraphMLM    50.1187233627  561522  561522
          QCD_HT1000to1500_madgraphMLM     63.095734448  440495  440495
          QCD_HT1000to1500_madgraphMLM    79.4328234724  278151  278151
          QCD_HT1000to1500_madgraphMLM            100.0  135324  135324
          QCD_HT1000to1500_madgraphMLM    125.892541179   54018   54018
          QCD_HT1000to1500_madgraphMLM    158.489319246   21181   21181
          QCD_HT1000to1500_madgraphMLM    199.526231497    9094    9094
          QCD_HT1000to1500_madgraphMLM    251.188643151    3796    3796
          QCD_HT1000to1500_madgraphMLM    316.227766017    1250    1250
          QCD_HT1000to1500_madgraphMLM    398.107170553     256     256
          QCD_HT1000to1500_madgraphMLM    501.187233627      25      25
          QCD_HT1000to1500_madgraphMLM     630.95734448       8       8
          QCD_HT1000to1500_madgraphMLM    794.328234724       2       2
          QCD_HT1000to1500_madgraphMLM           1000.0       2       2
          QCD_HT1000to1500_madgraphMLM    1258.92541179       1       1
          QCD_HT1000to1500_madgraphMLM    1584.89319246       0       0
          QCD_HT1000to1500_madgraphMLM    2511.88643151       1       1
          QCD_HT1000to1500_madgraphMLM    3162.27766017       0       0
            QCD_HT100to200_madgraphMLM              0.1       1       1
            QCD_HT100to200_madgraphMLM   0.125892541179       0       0
            QCD_HT100to200_madgraphMLM   0.158489319246       2       2
            QCD_HT100to200_madgraphMLM   0.199526231497       1       1
            QCD_HT100to200_madgraphMLM   0.251188643151       3       3
            QCD_HT100to200_madgraphMLM   0.316227766017       5       5
            QCD_HT100to200_madgraphMLM   0.398107170553      10      10
            QCD_HT100to200_madgraphMLM   0.501187233627      12      12
            QCD_HT100to200_madgraphMLM    0.63095734448      14      14
            QCD_HT100to200_madgraphMLM   0.794328234724      27      27
            QCD_HT100to200_madgraphMLM              1.0      39      39
            QCD_HT100to200_madgraphMLM    1.25892541179      66      66
            QCD_HT100to200_madgraphMLM    1.58489319246     108     108
            QCD_HT100to200_madgraphMLM    1.99526231497     153     153
            QCD_HT100to200_madgraphMLM    2.51188643151     210     210
            QCD_HT100to200_madgraphMLM    3.16227766017     389     389
            QCD_HT100to200_madgraphMLM    3.98107170553     546     546
            QCD_HT100to200_madgraphMLM    5.01187233627     879     879
            QCD_HT100to200_madgraphMLM     6.3095734448    1336    1336
            QCD_HT100to200_madgraphMLM    7.94328234724    2035    2035
            QCD_HT100to200_madgraphMLM               10    3049    3049
            QCD_HT100to200_madgraphMLM    12.5892541179    4340    4340
            QCD_HT100to200_madgraphMLM    15.8489319246    6082    6082
            QCD_HT100to200_madgraphMLM    19.9526231497    7741    7741
            QCD_HT100to200_madgraphMLM    25.1188643151    8942    8942
            QCD_HT100to200_madgraphMLM    31.6227766017    8934    8934
            QCD_HT100to200_madgraphMLM    39.8107170553    7276    7276
            QCD_HT100to200_madgraphMLM    50.1187233627    4675    4675
            QCD_HT100to200_madgraphMLM     63.095734448    1882    1882
            QCD_HT100to200_madgraphMLM    79.4328234724     505     505
            QCD_HT100to200_madgraphMLM            100.0      99      99
            QCD_HT100to200_madgraphMLM    125.892541179      10      10
            QCD_HT100to200_madgraphMLM    158.489319246       5       5
            QCD_HT100to200_madgraphMLM    199.526231497       1       1
            QCD_HT100to200_madgraphMLM    251.188643151       1       1
            QCD_HT100to200_madgraphMLM    316.227766017       0       0
          QCD_HT1500to2000_madgraphMLM  0.0158489319246       1       1
          QCD_HT1500to2000_madgraphMLM  0.0199526231497       1       1
          QCD_HT1500to2000_madgraphMLM  0.0251188643151       0       0
          QCD_HT1500to2000_madgraphMLM  0.0316227766017       1       1
          QCD_HT1500to2000_madgraphMLM  0.0398107170553       1       1
          QCD_HT1500to2000_madgraphMLM  0.0501187233627       0       0
          QCD_HT1500to2000_madgraphMLM   0.063095734448       1       1
          QCD_HT1500to2000_madgraphMLM  0.0794328234724       8       8
          QCD_HT1500to2000_madgraphMLM              0.1       8       8
          QCD_HT1500to2000_madgraphMLM   0.125892541179       8       8
          QCD_HT1500to2000_madgraphMLM   0.158489319246      23      23
          QCD_HT1500to2000_madgraphMLM   0.199526231497      34      34
          QCD_HT1500to2000_madgraphMLM   0.251188643151      44      44
          QCD_HT1500to2000_madgraphMLM   0.316227766017      72      72
          QCD_HT1500to2000_madgraphMLM   0.398107170553     127     127
          QCD_HT1500to2000_madgraphMLM   0.501187233627     187     187
          QCD_HT1500to2000_madgraphMLM    0.63095734448     279     279
          QCD_HT1500to2000_madgraphMLM   0.794328234724     458     458
          QCD_HT1500to2000_madgraphMLM              1.0     740     740
          QCD_HT1500to2000_madgraphMLM    1.25892541179    1152    1152
          QCD_HT1500to2000_madgraphMLM    1.58489319246    1765    1765
          QCD_HT1500to2000_madgraphMLM    1.99526231497    2894    2894
          QCD_HT1500to2000_madgraphMLM    2.51188643151    4579    4579
          QCD_HT1500to2000_madgraphMLM    3.16227766017    7123    7123
          QCD_HT1500to2000_madgraphMLM    3.98107170553   11321   11321
          QCD_HT1500to2000_madgraphMLM    5.01187233627   17680   17680
          QCD_HT1500to2000_madgraphMLM     6.3095734448   27697   27697
          QCD_HT1500to2000_madgraphMLM    7.94328234724   42958   42958
          QCD_HT1500to2000_madgraphMLM               10   65110   65110
          QCD_HT1500to2000_madgraphMLM    12.5892541179   99221   99221
          QCD_HT1500to2000_madgraphMLM    15.8489319246  146362  146362
          QCD_HT1500to2000_madgraphMLM    19.9526231497  209547  209547
          QCD_HT1500to2000_madgraphMLM    25.1188643151  282633  282633
          QCD_HT1500to2000_madgraphMLM    31.6227766017  361069  361069
          QCD_HT1500to2000_madgraphMLM    39.8107170553  419340  419340
          QCD_HT1500to2000_madgraphMLM    50.1187233627  439703  439703
          QCD_HT1500to2000_madgraphMLM     63.095734448  404431  404431
          QCD_HT1500to2000_madgraphMLM    79.4328234724  317479  317479
          QCD_HT1500to2000_madgraphMLM            100.0  202541  202541
          QCD_HT1500to2000_madgraphMLM    125.892541179  102821  102821
          QCD_HT1500to2000_madgraphMLM    158.489319246   43630   43630
          QCD_HT1500to2000_madgraphMLM    199.526231497   18415   18415
          QCD_HT1500to2000_madgraphMLM    251.188643151    8765    8765
          QCD_HT1500to2000_madgraphMLM    316.227766017    4347    4347
          QCD_HT1500to2000_madgraphMLM    398.107170553    1859    1859
          QCD_HT1500to2000_madgraphMLM    501.187233627     515     515
          QCD_HT1500to2000_madgraphMLM     630.95734448      74      74
          QCD_HT1500to2000_madgraphMLM    794.328234724       7       7
          QCD_HT1500to2000_madgraphMLM           1000.0       4       4
          QCD_HT1500to2000_madgraphMLM    1258.92541179       5       5
          QCD_HT1500to2000_madgraphMLM    1584.89319246       1       1
          QCD_HT1500to2000_madgraphMLM    1995.26231497       1       1
          QCD_HT1500to2000_madgraphMLM    2511.88643151       0       0
           QCD_HT2000toInf_madgraphMLM  0.0316227766017       1       1
           QCD_HT2000toInf_madgraphMLM  0.0398107170553       0       0
           QCD_HT2000toInf_madgraphMLM  0.0501187233627       1       1
           QCD_HT2000toInf_madgraphMLM   0.063095734448       0       0
           QCD_HT2000toInf_madgraphMLM  0.0794328234724       2       2
           QCD_HT2000toInf_madgraphMLM              0.1       2       2
           QCD_HT2000toInf_madgraphMLM   0.125892541179       4       4
           QCD_HT2000toInf_madgraphMLM   0.158489319246      12      12
           QCD_HT2000toInf_madgraphMLM   0.199526231497       9       9
           QCD_HT2000toInf_madgraphMLM   0.251188643151      14      14
           QCD_HT2000toInf_madgraphMLM   0.316227766017      24      24
           QCD_HT2000toInf_madgraphMLM   0.398107170553      50      50
           QCD_HT2000toInf_madgraphMLM   0.501187233627      66      66
           QCD_HT2000toInf_madgraphMLM    0.63095734448     119     119
           QCD_HT2000toInf_madgraphMLM   0.794328234724     171     171
           QCD_HT2000toInf_madgraphMLM              1.0     304     304
           QCD_HT2000toInf_madgraphMLM    1.25892541179     434     434
           QCD_HT2000toInf_madgraphMLM    1.58489319246     711     711
           QCD_HT2000toInf_madgraphMLM    1.99526231497    1086    1086
           QCD_HT2000toInf_madgraphMLM    2.51188643151    1820    1820
           QCD_HT2000toInf_madgraphMLM    3.16227766017    2724    2724
           QCD_HT2000toInf_madgraphMLM    3.98107170553    4466    4466
           QCD_HT2000toInf_madgraphMLM    5.01187233627    6684    6684
           QCD_HT2000toInf_madgraphMLM     6.3095734448   10677   10677
           QCD_HT2000toInf_madgraphMLM    7.94328234724   16647   16647
           QCD_HT2000toInf_madgraphMLM               10   25592   25592
           QCD_HT2000toInf_madgraphMLM    12.5892541179   38859   38859
           QCD_HT2000toInf_madgraphMLM    15.8489319246   57724   57724
           QCD_HT2000toInf_madgraphMLM    19.9526231497   83305   83305
           QCD_HT2000toInf_madgraphMLM    25.1188643151  115047  115047
           QCD_HT2000toInf_madgraphMLM    31.6227766017  150952  150952
           QCD_HT2000toInf_madgraphMLM    39.8107170553  182764  182764
           QCD_HT2000toInf_madgraphMLM    50.1187233627  204821  204821
           QCD_HT2000toInf_madgraphMLM     63.095734448  207778  207778
           QCD_HT2000toInf_madgraphMLM    79.4328234724  188987  188987
           QCD_HT2000toInf_madgraphMLM            100.0  148554  148554
           QCD_HT2000toInf_madgraphMLM    125.892541179   96712   96712
           QCD_HT2000toInf_madgraphMLM    158.489319246   50504   50504
           QCD_HT2000toInf_madgraphMLM    199.526231497   22729   22729
           QCD_HT2000toInf_madgraphMLM    251.188643151   10316   10316
           QCD_HT2000toInf_madgraphMLM    316.227766017    5139    5139
           QCD_HT2000toInf_madgraphMLM    398.107170553    2806    2806
           QCD_HT2000toInf_madgraphMLM    501.187233627    1329    1329
           QCD_HT2000toInf_madgraphMLM     630.95734448     491     491
           QCD_HT2000toInf_madgraphMLM    794.328234724     126     126
           QCD_HT2000toInf_madgraphMLM           1000.0      18      18
           QCD_HT2000toInf_madgraphMLM    1258.92541179       5       5
           QCD_HT2000toInf_madgraphMLM    1584.89319246       5       5
           QCD_HT2000toInf_madgraphMLM    1995.26231497       5       5
           QCD_HT2000toInf_madgraphMLM    2511.88643151       1       1
           QCD_HT2000toInf_madgraphMLM    3162.27766017       0       0
           QCD_HT2000toInf_madgraphMLM    5011.87233627       1       1
           QCD_HT2000toInf_madgraphMLM     6309.5734448       0       0
